"human_id","condition","Early_game_score","Total_score","Best_model","Total_time","TR_minus_NT_BIC","Rand_minus_best_BIC"
"38VxtUSv_h6RR5-tAAA2","Level2",5,14,"random",218848,-2.39937296108479,0
"oXdDF_U-Dft2ja2lAAAs","Level1",0,87,"QL_states",458664,70.4474365585908,210.166710338863
"4HDD95eEc5uc6WGZAAB-","Level1",0,53,"QL_states",398306,0.429911228394587,28.710395819769
"QSuzBXpbyRc370HsAACW","Level2",0,34,"ToM_No_Tr",206216,1.96542782565604,28.2112478261637
"9M_yMJbCXl54gNUJAAAg","Level2",-1,35,"QL_states",312135,0.734320930757121,65.8551653378114
"SqFSft5pBSQvCRguAAB4","Level2",4,117,"ToM_No_Tr",280373,0.0471852017948891,217.350906197863
"OMboMzdFXCbIT4xIAABY","Level1",1,79,"QL_states",290849,12.7221159753125,137.656146739516
"FeAZRu_9Hrcdjm_iAABo","Level1",0,39,"QL_states",457608,-5.50021819888354,65.169946127539
"h_7YPIjrawfjJTC9AACI","Level1",-1,22,"QL_states",274773,-0.152813658940204,7.14551868509915
"7QnidGGKs1c6kKJoAAAI","Level2",-1,49,"QL_states",296250,2.52257506573153,130.397889692156
"Awf0J1oiQuRs5911AAAS","Level2",8,110,"QL_states",119964,-0.956199989088162,229.798637639476
"O5H_fl6X-WZWz26DAABu","Level2",-3,0,"random",118096,-2.8421709430404e-13,0
"2NHwNgPzjWxDBriwAAAU","Level2",-3,-4,"QL_states",245151,0.385733504110306,9.07787673290557
"2ZmOL0OjH5Uwt3DCAACm","Level1",6,22,"random",194255,-1.41560447798628,0
"7uLGzocWjI2W7oj0AAAq","Level1",1,76,"QL_states",260674,0.901705786479113,102.912162228654
"2rceYs3ijHQUGaHWAAAE","Level1",6,94,"QL_states",1045860,71.1598274206959,164.707418654035
"nwR4WarcStlliwI7AAA-","Level2",0,20,"QL_states",165444,0.965334728296796,13.9879469024946
"2H3e6jXSDoRUUpIeAAAG","Level2",0,31,"QL_states",279338,-0.255955368798311,14.385226216843
"NdP4BC2S2NeOQ4WqAABa","Level2",-2,74,"QL_states",136104,3.45373072393585,165.25310015819
"8z6u62nisLvOgfsbAACC","Level1",3,70,"QL_states",151633,3.34407571869104,59.0585126295802
"PC0tz873AYJDuBl-AABk","Level1",4,94,"QL_states",172156,79.4623534087351,197.59145190186
"tiYbLbPVLMnsq9hUAAAC","Level1",5,70,"QL_states",267666,1.65237705866656,108.316099973835
"EHmRs5tGqI6y_ZBYAAAM","Level2",-2,36,"QL_states",554950,3.51129360529978,64.0571717740592
"tWiP-HttMqVnssTJAABW","Level1",1,26,"QL_states",393206,1.04143766193874,8.60234525183114
"IFLGp4SWYD1rUTXOAAAW","Level1",3,76,"QL_states",284490,29.8498367720026,105.320280381494
"G1UYl_ZdFvPn_auuAAA0","Level1",5,88,"QL_states",272291,57.7808153036892,130.565865639278
"cpNjZm4TSPEFe4-IAABs","Level1",3,15,"ToM_Game_Tr",561795,-5.24159384811793,19.070590764491
"wsI-VTgA8Q7jaUGqAAAQ","Level1",2,77,"QL_states",311356,1.70052789830447,74.8582028141736
"2Icz3DkcGwi230swAABw","Level2",-2,13,"random",312217,0.288810042436694,0
"0n-ueZ_Y59EpoZdSAAAe","Level1",7,100,"QL_states",305777,66.4762441947344,210.537166306735
"DuD-LPjDw4N2S-63AAB6","Level1",8,88,"QL_states",360675,-4.44704972244136,117.502853901678
"rZNY1f0WR1tWMQF4AABm","Level2",5,32,"QL_states",241748,0.504112467438631,50.0873761104451
"FXzVIP95gQOHYZ25AAAw","Level1",6,106,"QL_states",218001,2.39809432180755,212.471993982346
"OKTUZhRu5vEV8REOAABU","Level2",0,122,"QL_states",349739,4.03663776806911,268.019352852959
"hkwYQrDHoPaA4yMaAABg","Level2",4,29,"QL_states",241642,-0.023336900199638,6.85913053080606
"wuPP0rwjmFrZ1QlRAAAK","Level1",2,-11,"random",197882,-1.9838353182422e-11,0
"HE1L_7f92p8RhgaIAAAc","Level2",2,5,"random",208969,0.0547717321323375,0
"iDh62P2wg6ao1dSUAACk","Level2",-3,-6,"QL_states",162762,3.15986881105346e-09,42.4032024072255
"vuzUzEEiYLwXW9x9AAAO","Level1",-1,14,"QL_states",232215,1.10358087852097,12.4887724731998
"7UidQyU1y52UvfhMAACo","Level2",6,29,"QL_states",895112,-1.10086574863698,25.0136455882061
"E8kPvIi6RmunS_t2AAAu","Level2",0,55,"QL_states",447707,1.47851740365053,74.7690276793421
"Hg433PNmJWz9FixvAACM","Level2",0,38,"QL_states",367551,2.14772221835244,24.0743412088976
"zPmO4kt4wkjme_W5AABq","Level2",2,6,"random",156941,0.18105206711374,0
"YKayqpSUklwV5pOWAABe","Level1",3,103,"QL_states",428670,92.0389890513886,218.05528241026
"06i_Cux84PGac8aqAAAA","Level2",1,2,"random",100041,-5.91171556152403e-12,0
"k-jbqaetGTrE-1e_AAAk","Level2",5,79,"QL_states",294195,1.92788184592075,119.247986666387
"c56kda3LQEpjIPm3AACE","Level2",1,77,"QL_states",335645,0.110786574868598,108.028463994744
"62ksRmCUyOlOJWTQAAB2","Level2",3,95,"ToM_No_Tr",544023,0.840014956293743,157.33596515164
"90EJZg_2bJ92R8vmAAAa","Level2",0,49,"QL_states",227685,0.0501213812573269,101.812612176601
"Nsa2geNpUZ9ulTlKAABG","Level1",2,67,"QL_states",531124,10.4087384784794,209.066203192345
"sgIt_KViZxGWuvbTAAB8","Level2",2,34,"QL_states",241238,2.33337009938663,56.9167493982573
"eJ5xg-wBh5lN4PNyAABi","Level1",6,108,"ST_EWA_STATES",1639179,101.359638118342,266.545067462761
